,Income,Recency,DaysRegistered,AcceptedCmpAll,MntTotal
1033,31056.0,99,3129,0,55
1034,79593.0,70,2654,1,1366
1035,28071.0,65,3275,0,313
1036,37334.0,44,2729,0,62
1037,46423.0,6,2890,0,92
1038,37126.0,9,2697,1,72
1039,47703.0,95,3002,0,655
1041,38998.0,92,3209,0,54
1044,34728.0,2,2940,0,36
1045,33168.0,0,3230,0,122
1046,33585.0,91,2883,0,122
1047,77037.0,3,2865,0,1123
1049,44529.0,98,2965,1,691
1051,28764.0,16,2630,1,12
1052,69098.0,82,3104,0,2440
1053,25959.0,1,3106,0,56
1054,27100.0,64,3056,0,37
1055,70596.0,68,3238,0,968
1056,42557.0,98,3275,0,270
1057,53312.0,32,2930,0,278
1058,72228.0,87,3185,0,1250
1059,67605.0,84,3061,0,938
1062,42000.0,23,3141,0,653
1063,35860.0,37,2647,1,49
1064,65526.0,22,2685,0,506
1065,16860.0,19,3261,0,38
1067,64176.0,52,3301,0,1826
1068,22304.0,91,3300,0,18
1069,67023.0,93,2723,0,906
1070,32892.0,78,2641,0,46
1072,59925.0,83,3182,0,766
1073,39722.0,92,2731,0,47
1074,46610.0,4,2952,0,467
1076,87171.0,27,3030,2,1298
1077,26907.0,10,2919,0,22
1078,50014.0,9,2764,0,396
1079,41014.0,65,3039,0,20
1080,66294.0,68,2710,0,967
1081,36715.0,16,3195,0,357
1082,79456.0,12,3282,0,1401
1083,40479.0,95,2922,0,15
1085,54233.0,46,3116,0,981
1086,24163.0,3,2866,0,17
1087,84460.0,80,3147,4,523
1088,43776.0,77,2663,0,23
1091,39190.0,91,2670,0,133
1092,71367.0,24,2916,0,777
1093,38578.0,2,2978,0,73
1094,57236.0,22,2715,0,121
1095,61825.0,56,2932,0,424
1096,79803.0,54,2633,0,868
1097,80910.0,71,3212,0,756
1098,27590.0,38,3038,0,12
1099,56775.0,62,3149,0,937
1101,54210.0,18,3011,0,367
1102,38508.0,95,2937,0,443
1103,53187.0,66,2852,0,267
1104,30023.0,28,2703,0,61
1105,76045.0,78,2832,1,1323
1106,50870.0,13,2616,0,63
1107,15315.0,27,2936,0,64
1108,65463.0,17,2756,1,562
1109,66480.0,71,2635,0,312
1110,76773.0,79,3095,0,1156
1112,54466.0,78,2746,0,16
1113,98777.0,23,2738,1,2008
1114,16269.0,75,2909,0,44
1115,71819.0,70,2911,2,1574
1116,33569.0,10,2862,1,63
1117,36262.0,24,2888,1,426
1118,22634.0,47,3135,0,96
1119,47025.0,98,2896,0,635
1120,70566.0,4,2872,0,757
1121,31605.0,15,3190,0,125
1122,52034.0,67,3014,0,332
1123,48526.0,32,2793,0,135
1124,46734.0,40,3194,0,330
1125,39552.0,54,3164,0,384
1126,86358.0,78,3296,0,1722
1127,46931.0,94,2672,0,78
1128,16581.0,51,3139,0,24
1130,67381.0,67,3136,1,957
1131,25930.0,87,2868,0,15
1132,42693.0,29,2628,0,57
1134,72903.0,74,2849,3,2013
1135,49669.0,97,2642,0,326
1136,36778.0,63,3299,0,77
1137,85696.0,88,3028,0,1313
1138,10979.0,34,2644,0,30
1139,49678.0,81,3118,0,315
1140,56129.0,65,2980,0,660
1141,37155.0,51,3120,0,74
1142,21282.0,76,2655,0,46
1143,33419.0,76,2922,0,86
1144,63285.0,84,2842,0,1103
1145,21255.0,56,2765,0,61
1146,42162.0,31,2828,1,145
1148,57744.0,91,2835,0,411
1149,26576.0,40,3230,1,27
1150,57513.0,59,2964,0,1060
1151,68142.0,96,3275,0,1459
1152,7500.0,61,3275,0,18
1154,54197.0,16,2693,0,237
1155,23091.0,98,2638,0,48
1158,79410.0,19,2637,0,1370
1159,57304.0,61,3081,0,1026
1160,44375.0,73,2704,0,301
1162,59594.0,74,3223,1,499
1163,80685.0,55,3282,0,1004
1164,40344.0,48,2865,0,218
1165,62710.0,53,3008,0,606
1166,48985.0,13,2965,0,75
1167,35322.0,34,3282,0,106
1169,81657.0,69,2764,0,1097
1170,14421.0,81,2738,1,16
1171,20130.0,99,2710,0,34
1172,74214.0,3,3278,0,1711
1173,66726.0,61,2774,1,438
1174,23724.0,65,3143,0,75
1175,47353.0,93,2834,0,225
1176,33444.0,24,3209,0,18
1177,54386.0,8,3014,0,470
1178,28510.0,72,3048,0,91
1180,48070.0,33,3138,0,504
1181,43140.0,68,3146,0,235
1182,54959.0,55,3132,1,1232
1183,15056.0,76,3028,0,88
1184,26954.0,17,2658,0,17
1185,22327.0,94,2937,0,24
1186,44393.0,86,2917,0,60
1187,62000.0,25,2914,1,1020
1188,31497.0,22,3176,0,155
1189,45894.0,15,2728,0,51
1191,67369.0,81,3195,2,1461
1192,58401.0,55,2676,0,96
1193,62307.0,94,2738,0,160
1194,43641.0,50,3039,0,139
1195,63841.0,64,3040,0,908
1196,46891.0,91,2907,0,183
1197,70091.0,11,3061,1,1161
1198,78075.0,72,2691,0,988
1200,54809.0,0,2897,0,174
1201,58113.0,66,3126,0,758
1202,51412.0,42,2786,0,195
1203,15287.0,60,3233,1,31
1204,66636.0,64,2922,0,1084
1205,50965.0,87,3100,1,685
1207,18351.0,1,2849,0,43
1208,40451.0,54,2739,1,49
1209,36317.0,53,3009,0,133
1210,42213.0,96,2866,1,363
1211,65748.0,58,3046,0,545
1214,56721.0,64,3212,0,296
1215,42160.0,26,2972,0,140
1216,61559.0,8,2953,0,530
1217,33629.0,49,3296,0,152
1218,68682.0,56,2872,0,1598
1219,34377.0,55,3132,0,114
1220,8940.0,25,3282,0,101
1221,26228.0,50,2886,0,25
1222,77297.0,84,3125,1,789
1223,40211.0,30,2940,1,87
1224,33438.0,81,2886,0,90
1225,75032.0,74,3033,0,1215
1226,61284.0,76,2866,1,811
1227,22518.0,36,3221,1,61
1228,54730.0,64,2924,0,405
1229,38452.0,62,2697,0,72
1230,44421.0,53,3105,0,189
1231,38197.0,86,2971,0,40
1232,41986.0,15,2746,0,63
1233,28427.0,67,3071,0,52
1234,37395.0,47,2664,0,39
1236,55249.0,81,2679,0,130
1237,84906.0,98,2874,3,1631
1238,28691.0,56,2966,0,34
1239,44213.0,48,2818,0,152
1240,25707.0,18,2768,0,21
1241,59062.0,74,2875,0,71
1243,66000.0,36,2676,0,711
1244,27683.0,90,3300,0,351
1246,7500.0,63,3179,0,119
1247,40521.0,82,3056,0,21
1248,20427.0,63,2703,0,10
1249,65106.0,55,2642,1,973
1250,69969.0,64,2912,2,1536
1251,67433.0,51,2954,1,992
1254,68118.0,51,2860,0,928
1255,55158.0,72,3305,0,418
1257,74190.0,49,2654,0,641
1258,39356.0,21,2708,1,23
1260,35860.0,37,2647,1,49
1261,90687.0,98,3009,1,1779
1262,73450.0,85,2812,2,1804
1263,31454.0,40,2964,0,48
1264,47139.0,2,2721,0,83
1267,19656.0,94,3112,0,84
1268,45579.0,10,2919,0,183
1269,85485.0,73,2614,0,1383
1270,55956.0,22,2689,1,999
1271,64191.0,30,3129,0,825
1272,38808.0,21,3278,1,246
1273,57183.0,51,3073,0,610
1274,23748.0,97,3191,0,76
1275,66303.0,56,3094,1,1286
1276,37368.0,4,2801,1,30
1277,40800.0,77,3150,0,99
1279,46149.0,36,2818,0,362
1281,49118.0,90,3286,2,1229
1282,37633.0,49,3253,0,38
1283,39767.0,18,2949,0,485
1284,26997.0,89,3207,0,434
1285,33986.0,43,3078,0,44
1286,57091.0,82,3189,1,496
1287,46831.0,84,2992,0,78
1289,52531.0,68,3152,0,794
1290,15759.0,12,2903,0,17
1291,22804.0,75,2939,0,26
1292,43050.0,10,2709,0,76
1293,42997.0,91,2810,0,15
1294,48918.0,21,2684,0,62
1295,60033.0,28,2698,0,198
1296,34043.0,97,2853,0,49
1297,57811.0,49,2976,1,802
1299,7500.0,5,3155,0,57
1301,94384.0,62,3088,3,2302
1302,23148.0,83,2737,0,37
1303,44267.0,48,3095,0,310
1305,60894.0,61,2972,0,832
1306,50200.0,70,3058,0,401
1307,81051.0,43,2643,2,1501
1308,65169.0,23,2772,4,1189
1309,59868.0,37,2948,0,1194
1310,65695.0,50,2755,0,656
1312,45143.0,74,2913,0,311
1314,59060.0,77,2775,0,274
1315,27238.0,39,3041,0,57
1316,47009.0,89,2877,0,448
1317,46094.0,62,2625,0,44
1318,40321.0,59,2941,0,102
1319,37235.0,68,2754,0,61
1320,81843.0,13,3039,0,1643
1321,46692.0,37,2994,0,397
1322,77382.0,36,2779,1,1121
1323,37774.0,28,3270,1,473
1324,18393.0,2,2698,0,50
1326,24711.0,86,2678,0,58
1327,45503.0,54,2883,0,170
1329,71604.0,3,2830,1,1196
1330,27244.0,84,2720,0,101
1331,48752.0,8,3170,0,316
1332,71434.0,4,2890,2,1400
1334,88097.0,24,3286,3,844
1335,51948.0,51,2891,0,311
1336,71853.0,29,3023,0,1149
1337,35876.0,13,2676,0,129
1338,40049.0,23,2862,0,32
1339,39660.0,36,3296,0,299
1340,50127.0,88,2637,1,320
1341,43263.0,2,3191,0,441
1343,18929.0,15,3104,0,85
1344,24367.0,58,3072,0,24
1345,33249.0,11,3100,0,112
1346,26887.0,27,3110,0,30
1347,50150.0,32,2980,0,410
1348,62061.0,12,2908,1,800
1349,85696.0,88,3028,0,1313
1350,76542.0,91,3062,0,1483
1351,70515.0,12,2857,0,1258
1352,18227.0,21,3204,0,28
1353,69139.0,23,2759,0,227
1354,69109.0,10,3203,1,1555
1356,38136.0,69,3039,1,103
1357,62159.0,68,2668,0,634
1359,33316.0,34,2874,0,131
1360,58554.0,55,3247,0,586
1361,17256.0,10,2824,1,62
1362,53034.0,30,3001,0,447
1363,52203.0,36,3304,0,939
1364,59601.0,14,2945,1,797
1366,47025.0,52,2840,0,415
1367,37971.0,97,2822,0,30
1368,41335.0,24,2791,0,187
1369,67267.0,0,2653,0,251
1370,57338.0,96,2667,0,237
1371,50523.0,89,2792,0,91
1372,35791.0,94,3025,0,35
1373,50611.0,98,3239,1,493
1374,56242.0,72,3089,0,971
1375,48904.0,1,3180,0,371
1376,56243.0,26,2787,0,396
1377,21355.0,5,2919,1,68
1378,57420.0,22,2975,1,322
1380,46390.0,56,2661,0,222
1381,54342.0,74,2967,0,177
1384,20895.0,24,3237,0,45
1387,26907.0,10,2919,0,22
1388,44964.0,35,3166,0,41
1389,75507.0,56,2664,0,1440
1390,53761.0,7,2867,0,325
1391,22682.0,51,2875,0,95
1392,38887.0,17,2725,0,42
1393,41658.0,30,3203,0,72
1394,29791.0,21,2651,0,20
1395,63915.0,2,2940,0,789
1396,39996.0,85,2644,0,15
1397,26759.0,65,2748,0,59
1398,63841.0,64,3040,0,908
1399,51039.0,11,3172,0,417
1400,60544.0,92,3279,0,289
1401,65685.0,54,2698,0,769
1402,37716.0,4,2675,0,188
1403,36864.0,53,3291,0,354
1404,44511.0,39,3231,0,727
1405,36947.0,49,3297,0,146
1406,47352.0,70,3050,0,319
1407,67087.0,40,2800,0,794
1408,57045.0,40,3265,0,454
1409,36957.0,43,3267,0,152
1410,69389.0,17,3245,0,797
1411,80134.0,40,3011,3,1690
1412,43142.0,84,2737,0,20
1414,34412.0,62,3107,0,209
1415,57537.0,83,2990,0,545
1416,22634.0,47,3135,0,96
1417,51315.0,45,2732,0,222
1418,36026.0,34,2711,0,61
1419,24639.0,3,2758,0,44
1420,34578.0,1,2685,0,8
1422,63810.0,45,3201,1,1371
1423,54132.0,81,2739,0,42
1424,18690.0,77,3154,0,60
1425,28164.0,23,3027,0,78
1426,34596.0,48,3048,0,23
1427,43269.0,61,2892,0,19
1428,38741.0,60,2697,0,61
1429,31907.0,75,3088,0,449
1430,27100.0,64,3056,0,37
1431,31163.0,54,2742,0,38
1433,34853.0,75,2794,0,34
1434,70844.0,16,2848,0,294
1435,31086.0,79,3027,1,48
1436,60544.0,92,3279,0,289
1437,20491.0,16,3126,0,30
1438,42523.0,96,2673,0,125
1439,39922.0,30,3106,0,156
1440,33402.0,60,2952,0,70
1441,36408.0,11,2887,0,22
1442,21645.0,75,3270,0,65
1443,78427.0,36,3219,1,1930
1445,51876.0,88,2863,0,310
1447,52852.0,93,3181,1,879
1448,70038.0,54,2853,0,1244
1449,69401.0,41,2704,0,690
1450,46053.0,46,3103,0,209
1453,40304.0,82,2878,0,57
1454,32727.0,38,3276,0,529
1455,68695.0,3,2610,0,1091
1456,43300.0,87,3230,0,180
1457,26290.0,49,3139,0,77
1458,93790.0,16,2743,3,2349
1459,38410.0,65,3259,0,534
1460,64866.0,9,2760,1,556
1461,57957.0,24,2920,0,637
1462,46015.0,25,2683,2,46
1463,16531.0,43,2617,0,44
1464,28072.0,10,2962,0,47
1466,50725.0,45,3107,0,586
1468,41145.0,20,2747,0,13
1469,67419.0,29,3135,0,1471
1470,23162.0,82,2796,0,65
1471,34380.0,68,3029,0,175
1472,34704.0,65,3034,0,40
1474,65148.0,9,3196,0,1115
1475,39898.0,20,3108,0,134
1477,59892.0,26,2845,0,87
1478,41020.0,68,2850,0,217
1479,57072.0,79,2762,1,1034
1481,62807.0,83,3273,0,819
1482,19414.0,32,2862,0,32
1483,19107.0,49,2917,0,46
1485,70379.0,84,3089,0,860
1486,79419.0,96,2613,0,1631
1487,64014.0,56,2625,1,444
1489,49854.0,63,2837,0,380
1491,42873.0,11,3130,0,269
1493,57867.0,48,2877,0,612
1494,35765.0,86,2806,0,75
1496,32952.0,36,2816,0,55
1497,53374.0,34,3288,1,1064
1498,71706.0,16,3199,0,1443
1499,68487.0,48,3138,0,1366
1500,53253.0,61,3109,0,436
1501,31163.0,54,2742,0,38
1502,42014.0,56,3287,0,436
1505,63206.0,65,2707,1,928
1509,53977.0,21,2992,0,907
1511,46098.0,86,3286,0,120
1514,20981.0,14,3031,0,73
1515,51766.0,74,2716,0,275
1516,55759.0,84,3184,0,854
1517,33039.0,4,2899,0,78
1518,37787.0,50,2888,0,106
1519,27242.0,2,3201,0,106
1520,87188.0,73,2997,0,1923
1522,37697.0,82,2748,0,84
1523,37401.0,14,2660,0,48
1527,28087.0,77,3171,0,112
1529,19740.0,65,3068,0,55
1530,57036.0,33,3171,1,1513
1531,53083.0,65,3016,1,271
1532,69283.0,41,2621,0,904
1533,46098.0,86,3286,0,120
1534,23331.0,92,3269,0,103
1535,23331.0,97,3238,0,269
1536,9255.0,91,2797,0,22
1537,67786.0,0,2810,0,1156
1538,71969.0,59,3227,1,1086
1539,59235.0,4,3139,0,1128
1540,31928.0,5,2699,0,72
1541,74881.0,48,3084,0,964
1543,51411.0,81,3005,0,18
1544,51983.0,95,3273,0,793
1545,42386.0,43,3138,0,100
1546,30390.0,5,2906,0,80
1547,30983.0,50,3203,0,167
1548,66033.0,76,3131,0,677
1549,37284.0,46,3063,0,23
1550,57530.0,68,2866,0,92
1551,76800.0,33,2719,0,641
1554,67445.0,63,3292,0,1174
1555,37054.0,89,2893,0,25
1556,47175.0,81,3215,1,240
1557,31859.0,77,2986,0,20
1558,27215.0,50,3128,0,102
1559,70179.0,10,2949,0,1034
1560,39922.0,30,3106,0,156
1561,49681.0,66,2843,0,458
1562,24645.0,16,3211,0,17
1564,44322.0,30,2619,0,92
1565,47958.0,8,3132,0,407
1566,63972.0,93,3180,1,1269
1567,75315.0,14,2681,0,841
1568,55517.0,53,3246,0,633
1570,82800.0,23,3188,2,1315
1571,38998.0,92,3209,0,54
1573,27161.0,41,2850,0,52
1574,42014.0,56,3287,0,436
1575,38201.0,19,3063,0,268
1576,45203.0,4,2704,0,147
1577,81574.0,89,2668,2,1798
1578,34935.0,71,2979,0,137
1579,60482.0,81,3128,0,507
1580,34633.0,31,2763,0,15
1581,78093.0,53,2806,0,1105
1582,82460.0,78,2815,0,974
1583,45903.0,80,2673,0,66
1585,35860.0,37,2647,1,49
1586,40442.0,52,3285,0,169
1587,61482.0,39,2608,0,299
1588,34968.0,11,3051,0,221
1590,31497.0,22,3176,0,155
1592,13724.0,43,3273,1,58
1593,45143.0,74,2913,0,311
1594,52569.0,54,2691,0,95
1595,48432.0,3,3225,0,424
1596,17144.0,96,2740,0,47
1597,36108.0,68,2863,1,339
1598,76445.0,2,3245,0,1410
1599,36663.0,40,2671,0,35
1600,53843.0,64,2973,0,562
1602,70638.0,69,2999,1,1334
1603,44512.0,57,2909,0,32
1604,27116.0,78,2725,0,41
1605,54072.0,71,2943,0,39
1606,71855.0,59,3135,0,1141
1607,51250.0,28,3062,1,710
1608,60432.0,61,2718,0,401
1609,65526.0,22,2685,0,506
1611,12393.0,38,3178,0,57
1613,33955.0,92,2930,0,270
1614,31353.0,24,2788,0,31
1615,55434.0,21,2873,0,882
1616,28359.0,35,2851,0,16
1617,57100.0,9,2648,0,311
1618,69139.0,23,2759,0,227
1620,51717.0,55,2919,1,122
1621,18793.0,14,3139,0,77
1624,54414.0,49,3128,0,211
1625,54549.0,8,2724,0,233
1626,47111.0,35,3265,0,1092
1627,41003.0,11,3075,0,601
1628,19444.0,8,2733,0,54
1629,36301.0,53,2853,0,78
1630,73059.0,36,2908,0,1095
1631,42731.0,64,2857,0,244
1632,52854.0,43,2703,0,116
1633,22775.0,40,2981,0,15
1634,46681.0,52,2870,0,425
1635,59821.0,11,3049,0,734
1636,50002.0,21,2983,0,638
1637,69755.0,23,2876,0,894
1638,44078.0,17,2616,0,41
1639,30560.0,6,2973,0,31
1640,35924.0,56,2704,0,34
1642,56386.0,51,3216,0,612
1643,24594.0,94,2807,0,29
1645,39228.0,1,3021,0,20
1646,58494.0,56,2805,0,396
1647,58684.0,71,2619,1,813
1648,57136.0,18,3013,0,1179
1649,56551.0,48,2659,0,138
1650,22448.0,86,2729,0,55
1652,34213.0,2,3266,0,117
1654,25358.0,57,2948,0,32
1655,35544.0,77,2719,0,67
1656,36634.0,0,3003,0,335
1657,62670.0,57,2753,0,825
1658,50334.0,24,2946,0,694
1659,72066.0,55,2612,2,1792
1661,34916.0,89,3016,0,231
1662,64892.0,77,2637,0,902
1663,43602.0,45,2776,0,68
1664,33996.0,46,2897,0,71
1665,41473.0,80,2981,0,76
1666,63246.0,60,2919,0,772
1667,36732.0,71,2788,0,47
1668,69084.0,43,2828,0,1586
1670,37929.0,49,2940,2,265
1672,80141.0,20,3140,1,2091
1673,72635.0,54,2997,1,981
1674,69016.0,61,3190,0,1533
1675,20193.0,18,3184,0,82
1676,27573.0,45,3067,0,244
1677,15862.0,26,2973,0,36
1678,49544.0,0,3108,0,404
1679,33228.0,28,2763,0,71
1681,38232.0,84,2769,0,122
1682,22554.0,38,3209,0,41
1683,23536.0,53,2631,0,10
1684,49413.0,88,2853,0,304
1685,42231.0,99,2702,0,37
1687,56534.0,35,2947,2,815
1688,58350.0,5,3147,0,1001
1689,81217.0,77,2951,0,1157
1690,49090.0,45,2951,0,688
1691,61787.0,71,2964,0,1319
1692,18169.0,40,3101,0,21
1693,24336.0,82,3277,0,31
1694,18222.0,70,3151,0,67
1695,62335.0,87,3008,0,708
1696,42033.0,95,3254,0,25
1697,86580.0,72,3093,1,746
1698,41437.0,5,3251,0,32
1700,61064.0,80,3273,0,1080
1701,38452.0,62,2697,0,72
1702,18358.0,49,2827,0,57
1703,55012.0,85,2706,0,660
1704,9722.0,7,3241,0,103
1705,38175.0,6,2885,0,153
1706,58656.0,25,3253,1,1220
1707,52117.0,55,3288,0,279
1708,64813.0,81,2784,0,745
1709,54222.0,98,2726,0,264
1711,77520.0,30,2911,3,1526
1712,41154.0,98,3052,0,69
1714,18746.0,41,2637,0,64
1716,60230.0,78,3011,0,1067
1717,22108.0,46,2658,0,31
1718,44392.0,71,2903,0,211
1719,55424.0,6,3187,1,877
1720,17688.0,82,3138,0,11
1723,82571.0,28,2694,1,1686
1724,38513.0,20,2758,0,324
1725,16653.0,10,2678,0,69
1726,42586.0,7,3214,0,252
1727,23529.0,67,3144,0,54
1728,74881.0,48,3084,0,964
1730,46910.0,36,2704,0,68
1731,18690.0,77,3154,0,60
1732,37244.0,90,3034,1,55
1734,75342.0,38,3025,0,563
1736,79146.0,33,2672,0,564
1737,77437.0,70,2821,1,1125
1738,54984.0,51,2642,1,358
1739,42403.0,18,2806,0,42
1740,55761.0,97,2672,1,184
1741,37292.0,32,3043,0,460
1742,45576.0,9,2638,0,145
1744,58086.0,80,3131,0,792
1746,28389.0,49,3192,0,28
1747,66835.0,21,2880,0,1033
1748,69901.0,95,3002,0,882
1750,63342.0,48,3227,1,1101
1751,44989.0,26,3261,0,369
1752,31859.0,3,2728,0,48
1753,51569.0,39,3108,1,467
1754,30372.0,33,3157,0,44
1755,16014.0,42,3075,0,38
1756,41120.0,80,2841,0,81
1757,39763.0,9,2935,0,167
1758,38725.0,52,2656,0,45
1759,77981.0,78,3005,0,664
1760,62905.0,68,2898,0,622
1761,13533.0,45,3082,0,48
1762,59481.0,47,2855,0,461
1763,72117.0,34,2919,0,1073
1764,21955.0,81,2901,0,55
1765,67131.0,72,3066,0,976
1766,36802.0,23,2619,0,20
1767,71853.0,29,3023,0,1149
1768,28249.0,80,2620,0,43
1769,47808.0,30,2858,1,224
1770,25509.0,15,3255,0,101
1771,51012.0,86,3043,0,209
1772,70596.0,68,3238,0,968
1773,85431.0,54,2992,0,1165
1774,42664.0,44,2709,0,24
1775,42586.0,7,3214,0,252
1776,29760.0,87,3275,0,165
1777,28973.0,59,3230,0,269
1778,39435.0,16,2933,0,102
1779,65370.0,1,2938,0,461
1780,20194.0,64,3165,0,47
1781,42473.0,72,2738,0,144
1782,64590.0,98,3229,0,1338
1783,71232.0,91,2819,0,917
1784,34600.0,8,3150,0,318
1785,46904.0,20,3209,0,253
1786,49094.0,6,3252,0,502
1787,36075.0,54,2808,0,119
1789,77298.0,46,2845,0,969
1790,34026.0,11,2934,0,76
1791,48918.0,21,2684,0,62
1792,82122.0,89,2924,1,1382
1793,37697.0,82,2748,0,84
1794,34074.0,69,2957,1,255
1795,28520.0,55,2986,0,43
1796,62535.0,13,2875,0,398
1797,36273.0,80,2680,0,76
1798,63404.0,97,2629,1,902
1801,75702.0,87,3229,1,1921
1802,59385.0,85,3033,0,185
1804,44689.0,82,2776,1,34
1805,53977.0,21,2992,0,907
1807,18701.0,95,2996,0,44
1809,63159.0,74,3207,1,1797
1810,37758.0,49,3239,0,40
1811,46757.0,71,3196,0,1143
1812,79734.0,72,2607,1,914
1815,21840.0,80,2949,0,27
1816,58582.0,15,2880,1,763
1818,50387.0,91,2908,0,525
1819,32583.0,10,2620,0,9
1820,62568.0,99,2689,1,953
1821,44635.0,25,2867,0,68
1822,33316.0,34,2874,0,131
1823,63967.0,57,2930,0,882
1825,25293.0,51,2893,0,37
1826,54111.0,97,2914,0,388
1829,22669.0,30,3009,0,173
1830,29236.0,30,2870,0,99
1831,44911.0,11,3077,0,215
1832,54693.0,72,3103,0,929
1833,48186.0,39,2707,0,219
1834,54809.0,0,2897,0,174
1835,41580.0,15,3172,0,92
1837,47743.0,56,3070,1,275
1840,32313.0,60,3109,0,159
1842,27071.0,90,2673,0,35
1843,68148.0,86,2908,0,1042
1844,65735.0,37,2810,0,395
1847,30093.0,19,2962,0,69
1848,57705.0,14,2775,0,486
1849,25008.0,72,2753,0,34
1851,22280.0,85,3012,0,13
1854,82733.0,28,2898,0,1323
1855,74290.0,70,2927,2,1217
1856,58217.0,84,3195,0,103
1857,21024.0,89,2966,0,84
1858,70116.0,73,3125,0,1536
1859,54006.0,42,3255,0,581
1860,69063.0,16,3205,0,928
1861,11448.0,16,2802,0,14
1862,61825.0,56,2932,0,424
1863,70886.0,65,2864,0,960
1864,69109.0,10,3203,1,1555
1866,32889.0,78,2902,0,55
1867,34738.0,51,2655,0,20
1868,30538.0,27,3242,0,367
1870,26642.0,71,2726,0,42
1872,44503.0,83,2680,0,48
1873,60200.0,3,3149,0,685
1874,49638.0,71,2677,0,39
1875,23830.0,3,2748,0,43
1878,69702.0,8,3101,0,1039
1879,70300.0,89,2955,0,1596
1881,30396.0,22,2666,1,34
1882,50616.0,56,2678,0,149
1883,62772.0,74,3012,1,946
1884,30298.0,48,2647,0,28
1885,52413.0,67,3209,0,450
1886,44155.0,24,2767,0,46
1889,42081.0,86,3094,1,382
1892,31158.0,62,3124,0,72
1893,61671.0,23,2632,2,732
1894,69719.0,99,2640,0,801
1895,49160.0,29,2858,0,236
1896,24882.0,52,3264,1,80
1897,90933.0,90,2696,1,1685
1899,59292.0,71,2987,0,507
1900,45759.0,13,3097,0,68
1901,22148.0,16,2683,0,49
1902,73395.0,94,2709,0,397
1903,29819.0,77,2854,0,39
1904,45688.0,20,2761,1,306
1905,62820.0,51,3020,0,976
1907,33235.0,71,2750,0,70
1908,35701.0,36,3073,0,46
1909,31535.0,95,2882,1,51
1911,67384.0,32,3202,1,1490
1912,80573.0,85,3229,0,1564
1913,77870.0,93,3282,2,1815
1914,52278.0,24,3126,0,1198
1915,57107.0,44,3280,2,416
1916,18929.0,15,3104,0,85
1917,36038.0,82,3000,0,47
1918,20180.0,27,3100,0,137
1919,34230.0,72,3156,0,21
1920,31878.0,7,2613,0,70
1923,77598.0,53,2877,1,1735
1924,80982.0,48,3143,0,1191
1925,22701.0,2,2903,0,24
1926,55212.0,65,3189,2,1182
1927,70617.0,45,2977,0,1280
1928,64849.0,42,3199,0,1336
1929,62694.0,29,2983,0,749
1930,61917.0,83,2827,0,91
1931,67472.0,93,2880,0,414
1932,21059.0,40,2779,0,44
1933,29543.0,47,2695,0,63
1934,75903.0,50,3053,0,901
1935,34984.0,40,3267,0,38
1936,54998.0,3,3082,0,455
1937,54356.0,62,3193,0,775
1938,34242.0,25,2704,0,15
1939,25410.0,48,2908,0,38
1941,28320.0,68,3137,0,43
1942,23763.0,64,3297,0,42
1944,34529.0,94,3259,0,162
1945,70792.0,82,3114,0,1272
1947,83891.0,24,2615,0,816
1948,36065.0,54,3061,0,74
1949,39898.0,20,3108,0,134
1950,51141.0,96,2962,0,157
1951,56939.0,19,2890,0,561
1952,80872.0,60,2654,0,1336
1953,72335.0,2,3291,0,2092
1954,61798.0,13,2824,0,463
1955,76842.0,37,2663,0,1130
1956,29478.0,59,2769,0,20
1957,46998.0,55,3221,1,377
1959,56551.0,48,2659,0,138
1962,44359.0,19,2618,0,45
1963,40887.0,32,3025,0,161
1964,48877.0,27,2781,0,144
1966,64474.0,59,2856,0,823
1967,77226.0,29,2727,0,1138
1969,85738.0,41,2763,2,1371
1970,55686.0,27,3106,1,982
1971,39062.0,28,2702,1,44
1972,34600.0,8,3150,0,318
1973,40794.0,18,3054,0,434
1974,54690.0,76,2840,0,198
1977,38236.0,2,2888,0,88
1978,36781.0,16,2686,0,63
1979,31385.0,56,3177,1,27
1980,24570.0,97,3093,0,193
1981,25509.0,15,3255,0,101
1983,58646.0,3,2990,0,140
1984,53201.0,49,3108,0,415
1985,21994.0,4,3158,0,22
1986,57113.0,45,3114,0,263
1987,51373.0,37,2978,0,393
1988,23477.0,39,2857,0,147
1989,58116.0,38,2683,0,443
1990,72968.0,8,2801,1,1958
1991,39791.0,89,3064,0,174
1992,91712.0,47,2861,1,2217
1993,94472.0,75,2693,2,1691
1994,13672.0,86,3044,0,25
1995,96547.0,4,2643,3,809
1996,79205.0,73,3275,1,895
1997,56559.0,46,3157,0,484
1998,32644.0,38,3135,1,413
1999,67506.0,73,2784,0,331
2000,24206.0,66,3084,0,25
2001,28420.0,36,2793,0,13
2002,22979.0,29,3267,0,115
2003,33279.0,29,2623,0,16
2004,46423.0,6,2890,0,92
2005,30368.0,97,2840,0,52
2007,41638.0,68,3107,1,441
2008,68805.0,73,2891,0,283
2009,65814.0,90,2725,0,747
2011,39146.0,1,3106,0,165
2014,68281.0,31,3297,0,1655
2015,37284.0,46,3063,0,23
2016,36790.0,14,3091,0,66
2017,27943.0,89,3046,0,37
2018,22263.0,31,2697,0,21
2019,30261.0,75,3248,0,22
2020,28587.0,42,2743,0,78
